Router Name,Country Code,Bandwidth (KB/s),Uptime (Hours),IP Address,Hostname,ORPort,DirPort,Flag - Authority,Flag - Exit,Flag - Fast,Flag - Guard,Flag - Named,Flag - Stable,Flag - Running,Flag - Valid,Flag - V2Dir,Platform,Flag - Hibernating,Flag - Bad Exit,FirstSeen,ASName,ASNumber,ConsensusBandwidth,OrAddress
Unnamed,DE,1724,289,193.37.152.199,larsmerke.de,9001,9030,0,0,1,0,0,1,1,1,1,Tor 0.3.1.8 on Linux,0,0,2014-09-30,CONTABO to AS1299 announce AS34933- DE,51167,3060,None
Unnamed,DE,10900,7648,89.163.225.115,ms369.moonshot.dedi.server-hosting.expert,443,80,0,0,1,1,0,1,1,1,1,Tor 0.2.5.12 on Linux,0,0,2017-01-19,MYLOC-AS- DE,24961,27800,None
Unnamed,NO,5261,630,37.191.229.7,host-37-191-229-7.lynet.no,8443,None,0,0,1,1,0,1,1,1,1,Tor 0.2.9.13 on Linux,0,0,2017-01-08,LYNET-INTERNETT-AS- NO,57963,21500,None
Unnamed,DE,538,810,46.4.114.195,static.195.114.4.46.clients.your-server.de,7386,19172,0,0,1,0,0,1,1,1,1,Tor 0.2.9.12 on Linux,0,0,2017-10-31,HETZNER-AS- DE,24940,1450,None
Unnamed,AU,32,227,59.102.75.64,59-102-75-64.tpgi.com.au,9001,9030,0,0,1,0,0,1,1,1,1,Tor 0.3.0.9 on Linux,0,0,2012-04-30,TPG-INTERNET-AP TPG Telecom Limited- AU,7545,56,None
Unnamed,DE,198,13,212.224.95.161,212.224.95.161,9001,9033,0,0,1,0,0,1,1,1,1,Tor 0.3.1.8 on Linux,0,0,2015-10-07,DE-FIRSTCOLO www.first-colo.net- DE,44066,870,None
Unnamed,TR,257,106,185.219.133.40,185.219.133.40,84,21706,0,0,1,0,0,1,1,1,1,Tor 0.2.9.12 on Linux,0,0,2017-11-16,XNET-ASN- TR,206587,892,None
Unnamed,US,72,9,97.106.216.49,97-106-216-49.res.bhn.net,9001,9030,0,0,1,0,0,0,1,1,1,Tor 0.2.9.12 on Linux,0,0,2017-11-15,BHN-TAMPA - BRIGHT HOUSE NETWORKS- LLC- US,33363,570,None
Unnamed,ES,561,1142,95.215.62.136,95.215.62.136,16651,9205,0,0,1,0,0,1,1,1,1,Tor 0.2.9.12 on Linux,0,0,2017-10-17,SOLOGIGABIT-AS- ES,56934,1480,None
Unnamed,BG,418,977,185.82.216.5,8707.aservers,32357,335,0,0,1,0,0,1,1,1,1,Tor 0.2.9.12 on Linux,0,0,2017-10-24,ITL-- BG,59729,1070,None
Unnamed,IT,520,584,2.236.9.67,2.236.9.67,8443,None,0,0,1,0,0,1,1,1,1,Tor 0.2.9.12 on Linux,0,0,2017-01-28,FASTWEB- IT,12874,1270,None
Unnamed,PL,2,6348,91.237.52.170,91a237b52c170.greendata.pl,9001,9030,0,0,0,0,0,1,1,1,1,Tor 0.2.5.12 on Linux,0,0,2015-02-17,BIZNESHOST-AS- PL,198414,4,None
Unnamed,NL,3499,1117,45.76.32.13,nl-ams-tor3.intellisrv.space,9001,None,0,0,1,0,0,0,1,1,1,Tor 0.2.9.12 on Linux,0,0,2016-06-26,AS-CHOOPA - Choopa- LLC- US,20473,16200,None
Unnamed,US,0,444,46.21.154.210,210.154.21.46.static.swiftway.net,29940,5910,0,0,1,0,0,0,1,1,1,Tor 0.2.9.12 on Linux,0,0,2017-11-15,SWIFTWAY-AS Netherlands- GB,35017,1,None
Unnamed,MY,61,429,111.90.141.71,111.90.141.71,6253,23115,0,0,1,0,0,1,1,1,1,Tor 0.2.9.12 on Linux,0,0,2017-11-16,SHINJIRU-MY-AS-AP Shinjiru Technology Sdn Bhd- MY,45839,330,None
Unnamed,US,482,640,69.164.194.10,li109-10.members.linode.com,9001,9030,0,0,1,0,0,1,1,1,1,Tor 0.3.1.8 on Linux,0,0,2017-11-07,LINODE-AP Linode- LLC- US,63949,1690,None
Unnamed,N/A,1016,5,185.227.82.9,185.227.82.9,443,80,0,1,1,0,0,0,1,1,1,Tor 0.3.1.8 on Linux,0,0,2017-12-01,HOSTIO Hostio Solutions B.V.- NL,205406,8590,None
Unnamed,NL,2926,1078,188.226.162.114,188.226.162.114,443,80,0,1,1,1,0,1,1,1,1,Tor 0.3.1.7 on Linux,0,0,2017-10-20,DIGITALOCEAN-ASN-3- NL,202018,3620,None
Unnamed,SE,195,1128,128.127.104.89,swe-net-ip.as51430.net,6957,29631,0,0,1,0,0,1,1,1,1,Tor 0.2.9.12 on Linux,0,0,2017-10-18,ALTUSHOST-NET- NL,51430,1100,None
Unnamed,NL,36,365,5.255.78.182,5.255.78.182,60517,None,0,0,1,0,0,1,1,1,1,Tor 0.3.1.8 on Linux,0,0,2017-09-28,HOSTSLIM- NL,200429,83,None
Unnamed,JP,55,810,103.250.73.231,103x250x73x231.bulks.jp,26010,18640,0,0,1,0,0,1,1,1,1,Tor 0.2.9.12 on Linux,0,0,2017-10-31,ASN-EQUINIX-AP Equinix Asia Pacific- SG,17819,183,None
Unnamed,US,85,109,107.191.118.171,roland.buzzkill.pw,9001,9030,0,0,1,0,0,1,1,1,1,Tor 0.3.1.8 on Linux,0,0,2016-02-15,RAMNODE - RamNode LLC- US,3842,232,None
Unnamed,DE,103,425,46.38.239.175,biz.stzal.com,9001,None,0,0,1,0,0,1,1,1,1,Tor 0.3.0.10 on FreeBSD,0,0,2017-09-28,NETCUP-AS netcup GmbH- DE,197540,424,None
Unnamed,DE,406,28,37.200.98.117,j32098.servers.jiffybox.net,9001,None,0,0,1,0,0,0,1,1,0,Tor 0.2.7.6 on Linux,0,0,2017-01-19,HOSTEUROPE-AS- DE,20773,1580,None
Unnamed,BR,1,26,54.94.85.201,ec2-54-94-85-201.sa-east-1.compute.amazonaws.com,9001,None,0,0,0,0,0,0,1,1,0,Tor 0.2.7.6 on Linux,0,0,2015-07-09,AMAZON-02 - Amazon.com- Inc.- US,16509,8,None
Unnamed,FR,213,15219,163.172.132.178,178-132-172-163.rev.cloud.scaleway.com,443,None,0,0,1,0,0,1,1,1,0,Tor 0.2.7.6 on Linux,0,0,2016-03-10,AS12876- FR,12876,1160,None
Unnamed,CA,3769,656,144.217.94.195,195.ip-144-217-94.net,9001,9030,0,1,1,1,0,1,1,1,1,Tor 0.2.5.14 on Linux,0,0,2017-07-25,OVH- FR,16276,4470,None
